"","group","piR.hsa.100956","piR.hsa.1288731","piR.hsa.141155","piR.hsa.2499988","piR.hsa.2851799"
"TCGA.56.7823.01B.11H.2246.13","tumor",6.00110838541188,3.84862738598698,3.56529195030678,4.35869125018659,3.09691440246678
"SRR14634368","tumor",6.03478254435979,4.88550099252882,3.38952269102805,4.26374264805634,1.64415344638616
"TCGA.46.6026.01A.11H.1819.13","tumor",5.69171498852203,3.67911721226537,3.61558966594078,3.64433034714255,2.93981418914058
"TCGA.85.6798.01A.11H.1948.13","tumor",5.89158023603222,3.23211675944672,3.02459928894849,2.93554852056911,2.56559309557792
"TCGA.55.8205.01A.11H.2240.13","tumor",5.62956658313318,3.05914747084647,2.10604401146279,2.1833028932956,0.740840729274075
"SRR14634314","tumor",5.04858724957614,3.15098096051268,2.44008110758028,2.56225743148184,1.34595217929463
"TCGA.55.7724.11A.01H.2169.13","normal",5.96573650487929,1.6034590874859,0.694374838634857,2.41487606885565,-0.420772718232278
"SRR6757428","tumor",3.77275622560996,1.84845696317423,1.86590895734009,2.25402894718729,1.36952832121737
"TCGA.55.7911.11A.01H.2169.13","normal",6.38039910152076,1.06041851356061,0.611784010718711,1.33620238232487,-0.0344376755097489
"TCGA.56.8624.11A.01H.2402.13","normal",6.27966930848392,1.50922478857044,0.735035612563319,2.91690988005093,0.147193612822735
"TCGA.98.7454.01A.11H.2044.13","tumor",5.34952323965177,2.72968329892178,1.85267712508992,1.42594541459465,0.89182299693623
"TCGA.78.7152.01A.11H.2038.13","tumor",5.58013848060096,2.83075215393973,0.654717450016078,1.58719491228701,0.198273146179497
"TCGA.50.5933.01A.11H.1754.13","tumor",5.72454284266037,2.43416820504986,2.07679401931704,2.64477211467465,1.63272580914641
"TCGA.70.6723.01A.11H.1819.13","tumor",5.40661061027346,3.25719521687667,3.18723155440941,3.98081245336737,2.85600326999141
"SRR14634251","normal",6.09868633639229,2.36399015346017,0.914976406045795,1.1502541219923,1.14136748424025
"TCGA.92.7340.11A.01H.2044.13","normal",6.44692909699506,1.92914894868756,1.35407541552615,2.1099590868537,-0.402202304271476
"SRR6757396","tumor",5.58715305576894,3.06048060265196,1.96633014566375,2.26763564921733,1.35022983126962
"SRR14634283","normal",6.27677487412518,1.97953071751489,1.31018456509715,1.80302566784932,1.1502242055777
"TCGA.MP.A4SY.01A.21H.A24S.13","tumor",5.09243598977372,2.62022732007426,2.01372527292568,2.20322650605415,1.01357790925651
"SRR6757409","normal",5.75025960623729,2.44354698087199,1.7299362815125,2.24168174182825,1.34934935498898
"TCGA.85.8048.01A.11H.2246.13","tumor",5.85108226451756,2.55535696310625,1.50906996419311,1.92556558023637,0.726506181222303
"SRR14634315","tumor",5.61840349448852,2.85621829591494,2.15906342869418,2.27223587602686,1.41080714311982
"TCGA.77.8143.01A.11H.2246.13","tumor",6.36898024349887,4.19481249686468,3.67386939449389,4.76088237370334,3.51155152827802
"TCGA.44.2661.01A.01T.1108.13","tumor",5.60356777256441,2.59698260309909,0.606460408571239,0.764018283725772,1.01007966811402
"TCGA.21.1075.01A.01T.1557.13","tumor",6.03264750738407,4.48531443866652,4.26205879329669,4.23602825638254,4.02797805593299
"TCGA.96.A4JL.01A.11H.A25B.13","tumor",5.97844320305086,3.1104865052237,1.17843140767086,1.16379715568426,0.778812044896013
"TCGA.22.4609.01A.21H.2124.13","tumor",5.83963181714389,3.42138270551999,2.32412903809204,1.88385404392064,0.758418181393122
"TCGA.50.5930.11A.01H.2169.13","normal",5.62638398898723,1.74681902960036,0.723411236958716,1.62552618157893,0.000890027003247362
"TCGA.44.7667.01A.31H.2065.13","tumor",5.95191212377897,3.08114829665274,2.1101970920005,3.31848860201549,2.70183463247822
"TCGA.55.5899.01A.11H.1627.13","tumor",5.10661593109104,3.50170089004511,2.05011705495219,2.71095497157594,1.12562199510915
"TCGA.70.6722.01A.11H.1819.13","tumor",5.4629527461536,2.24554284525563,1.48319705604544,2.62330877897447,1.35499086176429
"TCGA.77.A5GH.01A.11H.A27R.13","tumor",5.48556517621554,4.00878842894333,1.71320307053172,1.54831626737896,1.76727656782996
"TCGA.49.AAR2.01A.11H.A39B.13","tumor",6.29710171424974,3.09447001839789,2.21482117875518,1.60296125619606,0.812668330534403
"TCGA.78.8662.01A.11H.2402.13","tumor",5.45319627640884,2.54385178957387,2.27528301955077,2.20076992200177,0.994007087066837
"TCGA.56.8083.11A.01H.2246.13","normal",6.18146400307481,2.02481003283701,0.80461978452759,1.67072443138532,-0.20208703736837
"TCGA.44.6146.01A.11H.1754.13","tumor",6.24526249690171,3.30467681215534,2.64560843132987,2.70952094194217,0.601289216024159
"TCGA.64.1681.01A.11H.2065.13","tumor",6.28260221620237,2.06198125813666,0.898454950887596,0.342277802337198,0.0296802289067384
"SRR14634271","normal",5.58968008044232,3.16828903182755,1.69996707532428,1.76758074452848,1.16105848330263
"TCGA.55.1595.01A.01T.0947.13","tumor",5.78416196129903,4.2052798995522,2.66510354357543,1.64224530789885,1.34294341205353
