"","group","piR.hsa.100956","piR.hsa.1288731","piR.hsa.131631","piR.hsa.138412","piR.hsa.141155","piR.hsa.2499988","piR.hsa.2826866","piR.hsa.2826956","piR.hsa.2831324","piR.hsa.2833690","piR.hsa.2838249","piR.hsa.2851625","piR.hsa.2851799"
"TCGA.94.8490.01A.11H.2325.13","tumor",5.49715369106287,2.40241955077929,4.89905050609096,4.60191757621525,1.80666534890366,2.08196495330327,1.41608969012031,1.4398594027712,1.81426017231861,3.47736309738608,1.58960751232632,2.87358848522375,1.30439735442087
"TCGA.37.4130.01A.01T.1557.13","tumor",5.30428375622854,4.25350830982511,4.6790944020508,4.38196147217508,2.37202080815231,2.69445438351848,2.06708604228215,1.96157736830307,2.40523313642047,3.2573294304945,2.18402079677448,2.65367889254671,2.11706387278722
"SRR14634320","tumor",5.35880223790225,4.23298613980809,4.67898414833786,4.69887572206488,3.6504662429026,4.26624764544959,3.20254830610975,3.16265901081793,3.6628441792244,4.02493965276542,3.57889623862667,3.84847535611555,1.65287623934957
"TCGA.33.4538.01A.01T.1517.13","tumor",5.76629453817282,4.83834895126411,5.11913641098998,4.82200348111427,3.07620313653386,2.39142808711644,2.22006982406271,2.1662592187807,3.1127658819739,3.69751127914927,2.8937128508655,3.09363704098214,2.07244807916327
"TCGA.55.6969.01A.11H.1948.13","tumor",6.08541766956646,4.34162091776456,5.40426856288625,5.10713563301054,2.92417247378389,2.35449244577978,1.16001037398983,1.17972245539917,2.95925230485618,3.98270618496655,2.73883102743709,3.37873155386966,1.0697205744446
"TCGA.50.5072.01A.21H.1857.13","tumor",6.06116822568095,2.37573282037497,5.48317187722262,5.18603894734691,0.879882526641466,2.17044009232625,1.4168386749788,1.39784364462598,0.837139815955537,4.061623929303,0.599608595509487,3.45762621274,1.03247719758853
"TCGA.77.8146.01A.11H.2246.13","tumor",5.88627373667887,3.00034789808882,5.30015494265862,5.00302201278291,2.20395858783087,3.22237040899328,1.90232771645835,1.89546988743623,2.22243103242409,3.87857169526978,2.00036338759867,3.27463045130526,2.7293359663506
"TCGA.49.6743.01A.11H.1857.13","tumor",6.14276697974038,2.85422858293387,5.56615389199686,5.26902096212115,2.35055308824689,3.35768605966938,2.07795563925778,2.20758922065276,2.36017947327352,4.14461994020453,2.13877068568971,3.54059983210478,2.8334816562341
"SRR14634352","tumor",5.80259120759315,2.74491213484223,5.00215627643986,4.80935521742087,1.89037535006308,2.22532283166953,1.26506993309387,1.20638037951081,1.93348285335713,3.86980413400014,1.73281843927944,3.50831769831002,1.25283520266475
"SRR14634341","tumor",5.3670510144819,2.4784268807695,5.06348311571657,4.70161952801877,2.17661116587443,2.42528653247939,2.5321452345237,2.62539585445906,2.21563337696771,3.04502066285951,1.96773134681784,2.62938269668785,1.44618196108047
"SRR6757390","tumor",2.71140476823467,1.99020890712089,3.40155971138432,3.71504133128032,1.54337892173806,2.23288839577419,1.39693305338146,1.37392384245214,1.55495455995763,3.30452573218391,1.54367560837115,3.03596746624244,1.34608887295504
"SRR14634295","normal",6.11491743430087,2.56873206648211,5.53290551336054,5.11357328854988,0.966663664287431,1.23323675394651,0.815949567612689,0.78260235173701,0.937492682424415,3.83984962094712,0.894878457375786,2.9032471980687,1.15195699660919
"TCGA.91.8499.01A.11H.2402.13","tumor",4.86888544496555,2.73233457694107,4.28977339309878,3.99264046322306,2.85835198168658,2.94449340124847,1.48906295724355,1.50097947166611,2.8934282413151,2.86782141789978,2.67386097363331,2.26446999853055,1.63880995485373
"TCGA.58.8387.01A.11H.2295.13","tumor",6.01139139166805,3.7682223214044,5.40691121142687,5.10977828155116,3.06976998072694,3.02601084122145,2.35085555276712,2.42422473563007,3.10561168340775,3.98534933545755,2.88386585493068,3.38137390133156,2.85783328339059
"TCGA.97.A4M7.01A.11H.A24S.13","tumor",5.18404045838772,2.77632093435868,4.57404029815572,4.27682078615886,0.874463548589544,0.66470197916559,0.590715860184163,0.605172759640199,0.831167479423332,3.15214518991923,0.593511743021198,2.54856432194066,0.639712951836793
